Model loaded successfully from 'datasets/dummy9.txt'
T=10.0, cost=17479.369269332183
***NEW BEST = 16254.877830824247***
***NEW BEST = 15818.308429287896***
***NEW BEST = 14736.7877739232***
***NEW BEST = 13628.768693848258***
***NEW BEST = 12180.254393186591***
***NEW BEST = 10994.493450782467***
***NEW BEST = 10742.030981047712***
***NEW BEST = 10529.461408416053***
***NEW BEST = 10520.234240575895***
***NEW BEST = 10476.424862462383***
***NEW BEST = 10446.787122475005***
***NEW BEST = 9429.742574606658***
***NEW BEST = 9390.194671606176***
***NEW BEST = 9369.26554077492***
***NEW BEST = 9308.127568602331***
***NEW BEST = 9291.377847298318***
***NEW BEST = 8237.662355381135***
***NEW BEST = 8187.156123499107***
***NEW BEST = 8122.782084082002***
***NEW BEST = 7998.535132394737***
***NEW BEST = 7977.388340406802***
***NEW BEST = 7805.338767717514***
***NEW BEST = 7517.923747919089***
***NEW BEST = 7379.650763772391***
***NEW BEST = 7067.824400553092***
***NEW BEST = 7059.092552631281***
***NEW BEST = 6957.504412607515***
***NEW BEST = 6949.26910199811***
***NEW BEST = 6805.192418864802***
***NEW BEST = 6635.768498779368***
***NEW BEST = 6595.506547422116***
***NEW BEST = 6507.557558743525***
***NEW BEST = 6457.283714892284***
***NEW BEST = 6441.390051631257***
***NEW BEST = 6323.670633463224***
***NEW BEST = 6149.401811317059***
***NEW BEST = 6067.257016994263***
***NEW BEST = 5997.823239542614***
***NEW BEST = 5902.279801237617***
***NEW BEST = 5870.8396119293375***
***NEW BEST = 5828.25377199081***
***NEW BEST = 5778.361019099457***
***NEW BEST = 5718.2404891190145***
***NEW BEST = 5714.989326493731***
***NEW BEST = 5611.84390478616***
***NEW BEST = 5522.559692862313***
***NEW BEST = 5517.986523017389***
***NEW BEST = 5515.112983852467***
***NEW BEST = 5473.272706617236***
***NEW BEST = 5453.871506402155***
***NEW BEST = 5412.020363995827***
***NEW BEST = 5380.066531916684***
***NEW BEST = 5259.395193474953***
***NEW BEST = 5114.733671801971***
***NEW BEST = 5053.93350452405***
***NEW BEST = 4991.318914591504***
***NEW BEST = 4983.126497817264***
***NEW BEST = 4878.445453482405***
***NEW BEST = 4846.0140749600105***
***NEW BEST = 4797.053162389315***
***NEW BEST = 4766.725291760976***
***NEW BEST = 4701.38513577353***
***NEW BEST = 4598.5670010966705***
***NEW BEST = 4461.872907968822***
***NEW BEST = 4406.034809767229***
***NEW BEST = 4311.627975672574***
***NEW BEST = 4289.655028239839***
