Model loaded successfully from 'datasets/dummy15.txt'
T=10.0, cost=3005800.358476538
***NEW BEST = 2999231.5213699243***
***NEW BEST = 2993026.5493031032***
***NEW BEST = 2986839.3062524535***
***NEW BEST = 2979831.8946836563***
***NEW BEST = 2973141.451153217***
***NEW BEST = 2969484.386958667***
***NEW BEST = 2963067.45569626***
***NEW BEST = 2960468.269995948***
***NEW BEST = 2954298.0765782436***
***NEW BEST = 2948749.8933127383***
***NEW BEST = 2944719.9412626787***
***NEW BEST = 2939166.771782404***
***NEW BEST = 2935098.2905558352***
***NEW BEST = 2930026.586354855***
***NEW BEST = 2929579.553962065***
T=9.8, cost=2929579.553962065
***NEW BEST = 2923561.3996743895***
***NEW BEST = 2918501.0871846126***
***NEW BEST = 2917773.6027904986***
***NEW BEST = 2911047.608299215***
***NEW BEST = 2907747.694845974***
***NEW BEST = 2907587.897274882***
***NEW BEST = 2905002.069420583***
***NEW BEST = 2898093.603463285***
***NEW BEST = 2897466.07509467***
***NEW BEST = 2896209.6685628262***
***NEW BEST = 2896037.1087810607***
***NEW BEST = 2892997.791094489***
***NEW BEST = 2892843.309781595***
***NEW BEST = 2890247.8932261583***
T=9.604000000000001, cost=2890247.8932261583
***NEW BEST = 2890137.1130913557***
***NEW BEST = 2884643.9685394233***
***NEW BEST = 2884403.03323895***
***NEW BEST = 2878194.797562554***
***NEW BEST = 2872323.6854285765***
***NEW BEST = 2871949.803791605***
***NEW BEST = 2865809.7012328967***
***NEW BEST = 2864950.407552351***
***NEW BEST = 2860259.1816598233***
T=9.41192, cost=2860259.1816598233
***NEW BEST = 2858342.5505081196***
***NEW BEST = 2855748.575150817***
***NEW BEST = 2854205.1410669945***
***NEW BEST = 2851352.949261685***
***NEW BEST = 2848663.6399917966***
***NEW BEST = 2846571.383386062***
***NEW BEST = 2843500.062816502***
***NEW BEST = 2837364.82759935***
***NEW BEST = 2834883.987555172***
***NEW BEST = 2834676.890961203***
***NEW BEST = 2833059.984682576***
***NEW BEST = 2830948.30543288***
***NEW BEST = 2830036.895386913***
T=9.2236816, cost=2830036.895386913
***NEW BEST = 2825166.961435961***
***NEW BEST = 2824026.3955722614***
***NEW BEST = 2819733.0421570903***
