Model loaded successfully from 'datasets/dummy11.txt'
T=10.0, cost=272767.8014761413
***NEW BEST = 267316.02279629634***
***NEW BEST = 263586.2819445591***
***NEW BEST = 258695.7079164207***
***NEW BEST = 253663.99045452545***
***NEW BEST = 249210.69076535525***
***NEW BEST = 248192.4496861864***
***NEW BEST = 242336.74484353958***
***NEW BEST = 238174.52941804755***
***NEW BEST = 235585.12735983002***
***NEW BEST = 233790.02402505375***
***NEW BEST = 230209.55259680498***
***NEW BEST = 229620.00792087373***
***NEW BEST = 227541.00951966937***
***NEW BEST = 224437.04154016488***
***NEW BEST = 221193.13759927423***
***NEW BEST = 220404.9219565997***
***NEW BEST = 218395.45555546466***
***NEW BEST = 218274.33171958756***
***NEW BEST = 217427.5094049971***
***NEW BEST = 211557.56530213234***
***NEW BEST = 210938.41713798905***
***NEW BEST = 209002.49099173766***
***NEW BEST = 207263.72468946845***
***NEW BEST = 205571.85604233772***
***NEW BEST = 202602.0740511786***
***NEW BEST = 198427.71494661033***
***NEW BEST = 198382.8262894034***
***NEW BEST = 195239.74933079162***
***NEW BEST = 189171.8968026953***
***NEW BEST = 186278.40241249782***
***NEW BEST = 184484.261909935***
***NEW BEST = 181980.5647969979***
***NEW BEST = 179911.35500390903***
***NEW BEST = 177680.63404274467***
***NEW BEST = 173675.02518227568***
***NEW BEST = 172346.4507291671***
***NEW BEST = 171100.1793512241***
***NEW BEST = 167797.40653371552***
***NEW BEST = 165880.20090029534***
***NEW BEST = 163446.3831327777***
***NEW BEST = 162906.38874050474***
***NEW BEST = 162007.08140505382***
***NEW BEST = 159896.79006128263***
***NEW BEST = 158397.37372016***
***NEW BEST = 158044.92837233754***
***NEW BEST = 154518.40453582248***
***NEW BEST = 153552.14912594447***
***NEW BEST = 152303.04940907907***
***NEW BEST = 152077.2148362685***
***NEW BEST = 149817.524766632***
***NEW BEST = 149459.26176904177***
***NEW BEST = 147406.31480252527***
***NEW BEST = 143793.71195303166***
***NEW BEST = 142615.83417918973***
***NEW BEST = 142375.2903039868***
***NEW BEST = 141918.77546836896***
***NEW BEST = 140702.44074295842***
***NEW BEST = 139193.62519351026***
***NEW BEST = 138883.9337469566***
***NEW BEST = 138764.40000263174***
***NEW BEST = 135277.35805155203***
***NEW BEST = 134541.57463858242***
***NEW BEST = 132528.98863438025***
***NEW BEST = 131898.87259683534***
***NEW BEST = 131614.39165480435***
***NEW BEST = 131209.87775626566***
***NEW BEST = 129547.85586461987***
***NEW BEST = 129463.34503294391***
***NEW BEST = 128969.35852612904***
***NEW BEST = 127834.49225492054***
***NEW BEST = 125162.8408853254***
***NEW BEST = 124734.56242970435***
***NEW BEST = 124277.70414801114***
***NEW BEST = 123710.95230358848***
***NEW BEST = 123506.81901352436***
***NEW BEST = 122086.49036421863***
***NEW BEST = 121284.63251465245***
***NEW BEST = 120733.87929386918***
***NEW BEST = 120304.22196932753***
***NEW BEST = 120232.30484172812***
***NEW BEST = 120005.88343754606***
***NEW BEST = 119959.93904282145***
***NEW BEST = 119084.9060649839***
***NEW BEST = 117913.10350354198***
***NEW BEST = 117356.19176260984***
***NEW BEST = 117008.87517598714***
***NEW BEST = 116971.35875270644***
***NEW BEST = 114419.14020828776***
***NEW BEST = 113883.82816979845***
***NEW BEST = 113869.0006499879***
***NEW BEST = 113649.98287628048***
***NEW BEST = 113367.62998784086***
***NEW BEST = 113067.41400100518***
***NEW BEST = 112295.65815491544***
***NEW BEST = 111704.53925461794***
***NEW BEST = 111353.80607452252***
